SCI,SCI 1130,C1,Mechanics: Modeling and Simulation Approach,Somerville,MR 10:50- 12:30p,AC328,4,30,Waitlist Available
SCI,SCI 1130,C2,Mechanics: Modeling and Simulation Approach,Somerville,MR 1:30-3:10p,AC328,4,30,Waitlist Available
SCI,SCI 1210,01,Principles of Modern Biology (with Lab): Human Genetics and Genomics,Donis-Keller,TF 1:30-3:10p; W 12:30-3:10p,AC318; AC406,4,24,Waitlist Available
SCI,SCI 1210,02,Principles of Modern Biology (with Lab),Huang,TF 1:30-3:10p; T 3:20-6p,AC417; AC406,4,24,Waitlist Available
SCI,SCI 1410,01,Materials Science and Solid State Chemistry (with Lab),Christianson,MR 3:20-6:00p,AC413,4,21,Waitlist Available
SCI,SCI 1410,B1,"Materials Science and Solid State Chemistry (with Lab):
Environmental and Societal Impact of Materials",Stolk,TW 3:20-6:00p,AC413,4,21,Waitlist Available
SCI,SCI 2130,01,Quantum Physics,Holt,TF 1:30-3:10p,AC113,4,25,
SCI,SCI 2145,01,High Energy Astrophyics,Holt,TF 10:50- 12:30p,AC113,2,25,Session I
SCI,SCI 3130,01,Advanced Classical Mechanics,Zastavker,MR 1:30-3:10p,MH373,4,30,
SEM,SEM 101,S1,Seminar:  Product Management,Chisa,W 6:30-9:00p,AC318,1,25,
SEM,SEM 102,S2,Seminar:  Olin Workshop on the Library,Goldenson,R 6:30-8:30p,The Library,1,25,
SEM,SEM 103,S2,Seminar:  Big Ideas in Pedagogy and Educational Technology Trends,Morales,T 6:30-8:30p,AC318,1,25,
SUST,SUST 3301,01,Sustainability Certificate Synthesis Course,"Linder; Higgins, Monica (Wellesley)",R 3:30-6:30p,AC213,4,15,
,AWAY 1000,01,Study Away Program,Administration,n/a,n/a,12,n/a,
,OIP 1000,01,The Olin Internship Practicum,Phelps,n/a,n/a,1,n/a,
