Area,Course #,Section #,Course Title,Instructor / Teaching Team,Time,Location,Credits,Enroll Limits,Waitlist,Notes,Degree Requirement Note
FYR: INTEGRA TED,MTH1111/ SCI1111,03,Modeling and Simulation of the Physical World,"Somerville, Strong, Woodard, Wood",MTR 3:20-5:00pm,MH120; AC209,2+2,30,"Y, small for xreg",,Mathematics/Scienc e Core
INTEGRA TED,CIE2016B,01,Qualitative Engineering Analysis II,"Govindasamy; Christianson, Geddes, Lee; Somerville",MR 9-12:30pm,AC113,8,36,n/a,Students Currently Enrolled in QEA I (spring 2016) will be added to this section for fall 2016; EXPERIMENTAL Grading,Opt-In Integrated Req't
ME,ENGR2340,01,Dynamics,Mahajan,TF 9-10:40am,AC328,4,48,Y; large,,ME Core
ME,ENGR3310,01,Transport Phenomena,Storey,TF 9-10:40am,AC417,4,32,"Y, small",,ME Core
ME,ENGR3330,01,Mechanical Design,Barrett,MR 9-10:40am,AC128,4,25,"Y, small",,ME Core
ME,ENGR3710,01,Systems,Bennett,TF 1:30-3:10pm,AC328,4,15,"Y, small",,Design Depth or ME Elective
MTH,MTH2110,01,Discrete Math,Adams,TF 10:50-12:30pm,AC417,4,30,"Y, large",,Advanced Math in Major (ECE and others as designed)
MTH,MTH2133,01,Computational Bayesian Statistics,Downey,MR 3:20-5:00pm,AC326,2,25,"Y, small",SESSION I,Prob Stat Option
MTH,MTH2220,01,Linearity II,Hoffman,MR 10:50-12:30pm,AC328,4,48,N,,Mathematics Core
MTH,MTH3160,01,Complex Variables,Hoffman,TF 1:30-3:10pm,AC09,4,20,"Y, small",,Advanced Math in Major (ME and others as designed)
SCI,SCI1121,01,Electricity and Magnetism,Zastavker,MR 9-10:40am,AC328,4,25,"Y, small",,Physics Foundation Option
SCI,SCI1210,01,Principles of Modern Biology with Laboratory: Through the Lens of Human Disease,Wasylenko,TF 1:30-3:10pm; T 3:20-6pm,AC417; AC406,4,24,"Y, small",,Biology Foundation Option
SCI,SCI1240,01,Designing Better Drugs with Laboratory,Pratt,"MR 9-10:40am; R 3:20-
6pm",AC326; AC406,4,24,"Y, small",,Biology Foundation Option
SCI,SCI1310,01,"Introduction to Chemistry with Laboratory:
Environmental Systems Science",Hersey,TF 1:30-3:10pm; W 12:30-3:10pm,AC326; AC409,4,24,"Y, small",,Foundation Mat Sci / Chem Option
SCI,SCI1410,01,Materials Science and Solid State Chemistry,Christianson,MR 3:20-6:00pm,AC413,4,24,"Y, small",,Foundation Mat Sci / Chem Option
SCI,SCI1410,B1,"Materials Science and Solid State Chemistry:
Environmental and Societal Impact of Materials",Stolk,TF 10:50-2:15pm (with a 40 minute break for lunch,AC413,4,24,N,Offered Using EXPERIMENTAL Grading,Foundation Mat Sci / Chem Option
SCI,SCI2050,01,Art of Approximation in Science and Engineering,Mahajan,TF 10:50-12:30pm,AC109,4,32,"Y, small",,Science Elective
SCI,SCI2210,01,Immunology,Pratt,M 1:00-3:40; R 1-2:40p,AC417; AC406,4,12,"Y, small",,Advanced Biology
SUST,SUST2201,01,Introduction to Sustainability,Linder,W 3:30-6:30pm,AC213,4,15,"Y, small",,SUST Cert Prog Requirement
ADMIN,AWAY1000,01,Study Away Program,Administration,n/a,,12,,,"Enroll in this course block to confirm your
Study Away Semester",
ADMIN,OIP1000,01,The Olin Internship Practicum,Phelps,n/a,,1,,,See Post Graduate Planning to Enroll,
