ENTRP,AHSE1515,01,AHSE1515: Products and Markets,"Bloomer, Sarah; Neeley, Lawrence; Sauder, Tim; Wood, Alison",MR 9-11:30am,"304
318
326
328",4,92,N/A,,ENTRP Fnd,,
ENTRP,AHSE2515,01,AHSE2515: Iterate,"Ger, Donald",MR 2-3:30pm,328,2,12,5,Session I; 2 credits,ENTRP,,
ENTRP,AHSE2515A,01,AHSE2515A: Iterate,"Ger, Donald",MR 2-3:30pm,328,2,12,5,Session II; 2 credits,ENTRP,,
Area,Course #,Sect #,Course Title,Instructor / Teaching Team,Time,"Location: MAC
(unless noted otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Role,,
FYR,ENGR1125,01,"ENGR1125: Introduction to Sensors, Instrumentation and Measurement","Dusek, Jeff; Minch, Brad; Tow, Emily; Vanasupa, Linda",MR 2-3:30pm,428,4,25,5,,Required ENGR,,
FYR,ENGR1125,02,"ENGR1125: Introduction to Sensors, Instrumentation and Measurement","Dusek, Jeff; Minch, Brad; Tow, Emily; Vanasupa, Linda",MR 4-5:30pm,428,4,25,5,,Required ENGR,,
FYR,ENGR1125,03,"ENGR1125: Introduction to Sensors, Instrumentation and Measurement","Dusek, Jeff; Minch, Brad; Tow, Emily; Vanasupa, Linda",TF 10-11:30am,428,4,25,5,,Required ENGR,,
FYR,ENGR1125,04,"ENGR1125: Introduction to Sensors, Instrumentation and Measurement","Dusek, Jeff; Minch, Brad; Tow, Emily; Vanasupa, Linda",TF 2-3:30pm,428,4,25,5,,Required ENGR,,
Interdisciplinary,CIE2122P,01,CIE2122P: Social Technology Enterprise with Purpose (STEP),"Ferzoco, Alessandra; Michalka, Sam; Ruvolo, Paul",MR 9-11:30am,218,12,24,10,Experimental Grading,"TBD /
Interdisciplinary Talk to us about
crediting",,
Interdisciplinary,CIE2122S,01,"CIE2122S: Sustainability: Science, Society, and Systems","Stolk, Jon; Huang, Jean; Martello, Rob",TF 10-1:30pm,"404
406
413
417",8,40,5,"This 8 credit course will have a flexible credit allocation, where students pick any two of: 4SCI for bio foundation, 4SCI for chem/matsci/env foundation, 4AHS for AHS elective, 4ENGR to count for the E:Sust intro course.","Core E:Sust,
BIO",,
Interdisciplinary,ENGR2199,01,ENGR2199: Special Topics in Engineering: Engineering Systems Analysis,"Lee, Chris; Dabby, Diana",TF 2-3:30pm,"113
126",2,55,8,Session I; 2 credits,CORE ECE/ME,,
Interdisciplinary,ENGR2199A,01,ENGR2199A: Special Topics in Engineering: Engineering Systems Analysis: Dynamics,"Lee, Chris",TF 2-3:30pm,113,2,no cap,N/A,Session II; 2 credits,Core ME,,
Interdisciplinary,ENGR2199B,01,ENGR2199B: Special Topics in Engineering: Engineering Systems Analysis: Signals,"Dabby, Diana",TF 12-1:30pm,304,2,no cap,N/A,Session II; 2 credits,Core ECE,,
Interdisciplinary,ENGR3531_ MTH2131,01,ENGR3531_MTH2131: Data Science,"Downey, Allen",TR 4-5:30pm,318,2+2,30,N/A,,ProbStat,,
Interdisciplinary,ENGX2005,01,ENGX2005: Quantitative Engineering Analysis 2,"del Rosario, Zachary; Geddes, John; Malley, Melinda",TF 12-1:30pm,"113
126
128",4,92,N/A,,Required ENGR,,
Interdisciplinary,MTH2136_S CI2136,01,MTH2136_SCI2136: AstroStats,"Nugent, Carrie",MR 10-11:30am,MH120,2+2,35,8,,ProbStat,,
Interdisciplinary,MTH2188_S CI2099,01,MTH2188_SCI2099: Designated Alternative in Mathematics/Special Topics in Science: Decision Making in Sustainable Systems,"Wood, Alison",TR 4-5:30pm,113,2+2,30,10,,ProbStat,,
ME,ENGR2199C,01,ENGR2199C: Special Topics in Engineering: Fabrication Lab - Mech Proto,"Faas, Daniela",M 10-11:30am,128,1,20,10,,ELECTIVE,,
ME,ENGR2330,01,ENGR2330: Introduction to Mechanical Prototyping,"Faas, Daniela",W 12-1:30pm (lecture),MH 120,4,20,10,Students must enrolled in ENGR2330 01 either ENR2330 L lab A or B,ELECTIVE,,
Area,Course #,Sect #,Course Title,Instructor / Teaching Team,Time,"Location: MAC
(unless noted otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Role,,
ME,ENGR2330 L,A or B,ENGR2330: Introduction to Mechanical Prototyping,"Faas, Daniela",Lab A: M 2-3:30pm Lab B: W 2-3:30pm,128,n/a,20,10,students must enrolled in either lab A or B and ENGR 2330 01,ELECTIVE,,
ME,ENGR3310,01,ENGR3310: Transport Phenomena,"Tow, Emily",TF 12-1:30pm,326,4,48,N/A,,Core ME,,
ME,ENGR3350,01,ENGR3350: Finite Element Analysis,"Lee, Chris",TF 12-1:30pm,328,4,20,10,,ME ELECTIVE,,
ME,ENGR3370,01,ENGR3370: Controls,"Barragan, Patrick",T 7:00-10:00pm,326,4,48,N/A,,"ME
Elective/ECE
Elective",,
ME,ENGR3399_ MTH3199,01,ENGR3399_MTH3199: Special Topics in Mechanical  Engineering: Mechanical Engineering Experiential  Practicum (MEEP!),"Dusek, Jeff; Lee, Chris",MR 10-11:30am T 12-1:30pm,MR 126 T 328,4+2,no cap,N/A,Cancelled,,,ME Elective/
,,,,,,,,,,,,ADV ME Math,
,,,,,,,,,,,,,
MTH,MTH3120,01,MTH3120: Partial Differential Equations,"Geddes, John",TF 2-3:30pm,304,4,25,5,,ADV MATH,,
SCI,SCI1230,01,SCI1230: Think Like a Biologist w/ laboratory,"Huang, Jean",MR 10-11:30am (lecture) M 4-6:30pm (lab),"417
406",4,24,5,,Biology Fnd,,
SCI,SCI1299,01,"SCI1299: Foundation Biology Topics w/ lab: Biomes, Climate Change, and Biodiversity (BCB)","Donis-Keller, Helen",TF 12-1:30pm (lecture) W 2-5:00pm (lab),"318
406",4,16,5,new course; developed for the E:Sust program; satisfies E:Sust credit OR Foundation Biology,"Biology Fnd or
E:SUST
Elective",,
SCI,SCI1320,01,SCI1320: Paper Pancea: Part I w/ laboratory,"Vanasupa, Linda",MW 6:30-8:30pm,"409
413
417",4,32,10,,"MATSCI_CHEM
_ENV Engr",,
ADMIN,AWAY1000,01,AWAY1000: The Study Away Program,Administration,N/A,N/A,4,N/A,N/A,"Enroll in this course if you will be studying away in the
spring 2022 semester",,,
ADMIN,OIP1000,01,The Olin Internship Practicuum I,"Phelps, Sally",N/A,N/A,1,N/A,N/A,See Post Graduate Planning to Enroll,,,
ADMIN,OIP1001,01,The Olin Internship Practicuum II,"Phelps, Sally",N/A,N/A,1,N/A,N/A,See Post Graduate Planning to Enroll,,,
