ENGR,ENGR3110,01,Elecanisms,"Hoover, Minch",T 9-12:30p; F 10:50-12:30p,AC306,4,25,small waitlist available,
ENGR,ENGR3199,01,Special Topics in Engineering : Complex Systems Analysis,Coso Strong,MR 1:30-3:10pm,AC213,4,16,small waitlist available,
ENGR,ENGR4190,01-14,SCOPE: Senior Capstone Program in Engineering,"Sarang-Sieminski, Coso Strong, Woodard, Michalka",W 9-6:00pm,varies,4,n/a,"enroll in the same section number you are currently enrolled for Fall
2017",
ENGR,ENGR4290,01,Affordable Design and Entrepreneurship,"Linder, Hersey, Bida",T 3:30-6:30pm; R 3:30-5:30pm,AC213,4,15,"enroll in this course for the CAPSTONE option of ADE; waitlist
available",CAPSTONE - priority granted to those continuing from fall
ENTRP,AHSE1515,01,Products and Markets,"Neeley, Lynch, Chachra, Pratt",MR 1:30-4:10pm,"AC318 AC326 AC328
MH120",4,90,,
ENTRP,AHSE2515,01,Iterate,"Neeley, Bowen",MR 9-10:40am,AC318,2,15,Session I; see Entrepreneurship concentration in catalog,
ENTRP,AHSE2515A,01,Iterate,"Neeley, Bowen",MR 9-10:40am,AC318,2,15,Session II; see Entrepreneurship concentration in catalog,
ENTRP,AHSE3515,01,Launch,"Neeley, Bowen",MR 9-10:40am,AC318,4,10,,"see Entrepreneurship concentration
in catalog"
Integrated,CIE2018A,01,Curriculum Innov Experiment: Quantitative Engineering Analysis I,"Christianson, Geddes, Somerville, Dusek, Downey",MR 9-12:30pm,AC109,8,36,"requires understanding and agreement of participation in the
curricular experiment","4 MTH, 2 SCI and 2 ENGR credit
breakdown"
Area,Course #,Sec #,Course Title,Instructor,Time,Location,Credits,Enroll Limits,Registration Notes,Curriculum Notes
Integrated,CIE2018A,02,Curriculum Innov Experiment: Quantitative Engineering Analysis I,"Christianson, Geddes, Somerville, Dusek, Downey",MR 9-12:30pm,AC113,8,36,"requires understanding and agreement of participation in the
curricular experiment","4 MTH, 2 SCI and 2 ENGR credit
breakdown"
Integrated,ENGR3531 / MTH2131,01,Data Science,Soares,MR 1:30-3:10pm,AC304,2+2,21,small waitlist available,Satisfies Prob/Stat requirement
Integrated,MTH2132 / SCI2032,01,Bayesian Inference and Reasoning,Mahajan,TF 10:50-12:30pm,AC328,2+2,48,,Satisfies Prob/Stat requirement
ME,ENGR2320,01,Mechanics of Solids and Structures,Lee,TF 9-10:40am; W 9:30- 10:30am,AC328,4,42,,
ME,ENGR2330,01,Introduction to Mechanical Prototyping,"Barrett, Faas",TF 9-10:40am,AC128,4,35,small waitlist available,
ME,ENGR2350,01,Thermodynamics,Storey,TF 1:30-3:10pm,AC318,4,28,,
MTH,MTH2210,01,Linearity I,Hoffman,MR 10:50-12:30pm; W 9- 10:40am,AC326,4,30,,"required for non QEA first year
students"
MTH,MTH3120,01,Partial Differential Equations,Hoffman,MR 1:30-3:10pm,AC417,4,32,,Advanced Math
MTH,MTH3199,01,Special Topics in Mathematics: Nonlinear Systems Laboratory,"Geddes, Storey",MR 1:30-3:10pm,AC428,4,24,waitlist available,"Advanced Math for ME and others
as applicable"
SCI,SCI1130,01,Mechanics,Mahajan,MR 9-10:40am,AC328,4,28,,"Satisfies Physics foundation
requirement"
SCI,SCI1210,01,Principles of Modern Biology: Through the Lens of Human Disease,Wasylenko,TF 1:30-3:10pm,AC417,4,36,"enroll in one of the two lab sections
along with the lecture",Foundational biology topic
SCI,SCI1210 L,L1,Principles of Modern Biology LAB,Wasylenko,T 3:20-6:00pm,AC406,0,18,,
SCI,SCI1210 L,L2,Principles of Modern Biology LAB,Wasylenko,W 3:20-6:00pm,AC406,0,18,,
SCI,SCI1410,B1,Materials Science and Solid State Chemistry (with laboratory): Environmental and Societal Impacts,Stolk,TW 3:20-6:00pm,AC413,4,21,,
SCI,SCI1410,02,Materials Science and Solid State Chemistry (with laboratory): Deliberately Relevant for Engineers,Neal,MR 3:20-6:00pm,AC413,4,21,,
SCI,SCI2130,01,Quantum Physics,Holt,TF 1:30-3:10pm,AC109,4,15,,"may satisfy the Physics foundation
with permission"
SCI,SCI2140,01,Relativity,Holt,TF 10:50-12:30pm,AC109,2,15,Session I: 1/2 Session Offering,
SUST,SUST3301,01,Sustainability Synthesis,Wood,R 3:30-6:30pm,AC417,4,15,,"Capstone course to Sustainability
Certificate"
Area,Course #,Sec #,Course Title,Instructor,Time,Location,Credits,Enroll Limits,Registration Notes,Curriculum Notes
ADMN,AWAY1000,01,The Study Away Program,Administration,n/a,n/a,4,n/a,"enroll in this course if you will be studying away in the spring 2017
semester",
ADMN,OIP1000,01,Olin Internship Practicum,Phelps,n/a,n/a,1,n/a,"See Post Graduate Planning to
Enroll","required for international student
with internships"
