"INTEG RATE
D",ENGR 2199B MTH 2188B,B1,Special Topics in Engineering and Mathematics: Regional Analysis For Development,2+2,Mur-Miranda,MR 3:20-5:00pm,AC326,30,Prob/Stat Designated Alternative
"INTEG RATE
D",SCI 1121A / MTH 2220A,A1,Electricity and Magnetism: Project Based Approach w/ Vector Calculus,4+2,Christianson,MTRF 10:50-12:30pm,AC428,25,Experimental Offering; Will satisfy both Physics Foundation requirement and Linearity II (note: additional mathematics credits may be necessary for certain majors)
"INTEG RATE
D",SCI 1210A / AHSE 2199A,A1,Special Topics in AHS and Science: 6 Microbes that Changed the World,4+4,Huang; Martello,"M 1:00-3:10pm; W 1-
6:00pm",AC406; AC417,24,Will satisfy Biology requirement
ME,ENGR 2340,01,Dynamics,4,Lee,TF 9-10:40am; W 9:30- 10:30am,AC328,40,
ME,ENGR 3310,01,Transport Phenomena,4,Storey,MR 10:50-12:30pm,AC328,28,
ME,ENGR 3330,01,Mechanical Design,4,Barrett,MR 9-10:40am,AC128,28,
ME,ENGR 3370,01,Controls,4,Lundberg,MR 1:30-3:10pm,AC304,25,NOTE: This was typically a spring offering - moving to fall; won't be offered SP16
ME,ENGR 3390,01,Fundamentals of Robotics,4,Barrett,MR 3:20-5:00pm,AC128,24,
MTH,MTH 2110,01,Discrete Math,4,Adams,MR 9-10:40am,AC326,30,
MTH,MTH 2130,01,Probability and Statistics,2,Patel,TF 1:30-3:10pm,AC113,32,Session I
MTH,MTH 2220,01,Linearity II,4,Geddes; Somerville,MR 1:30-3:10pm,"CC209-213
Crescent Rm",28,
MTH,MTH 2220,02,Linearity II,4,Geddes; Somerville,MR 1:30-3:10pm,"CC209-213
Crescent Rm",28,
MTH,MTH 3170,01,Non-linear Dynamics and Chaos,4,Hoffman,MR 1:30-3:10pm,AC113,24,
Area,Course #,Section #,Course Title,Credits,Instructor,Time,Location,Enroll Limits,Notes
SCI,SCI 1210,01,Principles of Modern Biology (with Lab): Designing Better Drugs to Fight Disease,4,Pratt,TF 1:30-3:10pm; Tues 3:20-6:00pm,AC406; AC417,24,
SCI,SCI 1410,01,Introduction to Material Science and Solid State Chemistry,4,Chachra,TR 3:20-6pm,AC413; AC417,21,
SCI,SCI 1410,C1,"Introduction to Material Science and Solid State Chemistry:
Biomaterials, Polymers and Mechanical Properties",4,Chachra,MW 3:20-6pm,AC413; AC328,21,
SEM,SEM 104,S1,"Work, Play, Balance",1,Betsch,R 6:30-8:10pm,AC128,12,
SEM,SEM 303,S1,Musical Instrument Design and Engineering,1,Dorsk,T 6:30-8:10pm,AC306,20,
SEM,SEM 502,S1,Data Dashboard Design,1,Ritter,T 6:30-8:10pm,AC318,15,Python experience (not necessarily from a class)
ADMIN,AWAY 1000,01,Study Away Program,,Administration,n/a,n/a,n/a,
ADMIN,OIP 1000,01,The Olin Internship Practicum,1,Phelps,n/a,n/a,n/a,If engaged in a CPT work activity; see PGP for enrollment
